,Allowed Values
0,DP00370
1,DP00005
2,DP00289
3,DP00002
4,DP00154
5,DP00030
6,DP00080
7,DP00342
8,DP00034
9,
10,DP00316
11,DP00097
12,DP00128
13,DP00264
14,DP00333
15,DP00120
16,DP00387
17,DP00378
18,DP00382
19,DP00361
20,DP00082
21,DP00111
22,DP00008
23,DP00064
24,DP00187
25,DP00180
26,DP00266
27,DP00367
28,DP00110
29,DP00055
30,DP00394
31,DP00191
32,DP00335
33,DP00167
34,DP00132
35,DP00027
36,DP00182
37,DP00081
38,DP00148
39,DP00091
40,DP00121
41,DP00388
42,DP00100
43,DP00189
44,DP00157
45,DP00117
46,DP00379
47,DP00322
48,DP00037
49,DP00038
50,DP00375
51,DP00163
52,DP00147
53,DP00273
54,DP00060
55,DP00096
56,DP00105
57,DP00274
58,DP00358
59,DP00383
60,DP00129
61,DP00103
62,DP00145
63,DP00353
64,DP00593
65,DP00021
66,DP00339
67,DP00195
68,DP00372
69,DP00212
70,DP00026
71,DP00200
72,DP00193
73,DP00354
74,DP00036
75,DP00392
76,DP00356
77,DP00261
78,DP00365
79,DP00086
80,DP00003
81,DP00240
82,DP00338
83,DP00184
84,DP00263
85,DP00179
86,DP00150
87,DP00139
88,DP00127
89,DP00113
90,DP00250
91,DP00360
92,DP00262
93,DP00323
94,DP00340
95,DP00390
96,DP00166
97,DP00035
98,DP00178
99,DP00146
100,DP00357
101,DP00199
102,DP00330
103,DP00366
104,DP00016
105,DP00088
106,DP00094
107,DP00140
108,DP00137
109,DP00355
110,DP00126
111,DP00176
112,DP00025
113,DP00369
114,DP00093
115,DP00098
116,DP00281
117,DP00386
118,DP00014
119,DP00061
120,DP00298
121,DP00024
122,DP00106
123,DP00380
124,DP00162
125,DP00056
126,DP00130
127,DP00190
128,DP00374
129,DP00085
130,DP00196
131,DP00385
132,DP00001
133,DP00051
134,DP00071
135,DP00328
136,DP00083
137,DP00389
138,DP00040
139,DP00362
140,DP00177
141,DP00012
142,DP00023
143,DP00198
144,DP00245
145,DP00076
146,DP00015
147,DP00168
148,DP00010
149,DP00165
150,DP00049
151,DP00381
152,DP00118
153,DP00095
154,DP00007
155,DP00331
156,DP00125
157,DP00368
158,DP00334
159,DP00099
160,DP00107
161,DP00090
162,DP00260
163,DP00242
164,DP00201
165,DP00267
166,DP00181
167,DP00115
168,DP00194
169,DP00185
170,DP00376
171,DP00102
172,DP00033
173,DP00156
174,DP00092
175,DP00337
176,DP00079
177,DP00028
178,DP00393
179,DP00371
180,DP00373
181,DP00391
182,DP00243
183,DP00101
184,DP00329
185,DP00065
186,DP00186
187,DP00009
188,DP00363
189,DP00022
190,DP00062
191,DP00122
192,DP00019
193,DP00332
194,DP00084
195,DP00275
196,DP00299
197,DP00116
198,DP00112
199,DP00188
200,DP00114
201,DP00041
202,DP00029
203,DP00013
204,DP00239
205,DP00054
206,DP00377
207,DP00359
208,DP00066
209,DP00078
210,DP00326
211,DP00153
212,DP00136
213,DP00075
214,DP00197
215,DP00006
216,DP00336
217,DP00133
218,DP00017
219,DP00089
220,DP00313
221,DP00341
222,DP00119
223,DP00282
224,DP00109
225,DP00164
226,DP00183
227,DP00068
228,DP00317
229,DP00069
230,DP00104
231,DP00364
232,DP00192
