,Codes
0,CLF324
1,CM01012 - Toll Reedy Creek-Wallumbilla
2,CM01027 - Origin TN31B
3,CMN035
4,CMN042
5,CMN150
6,CLF373
7,CLF255
8,CMN080
9,CMN146
10,CMN128
11,CMN008
12,CLF187
13,CLF004
14,CMN068
15,CFE027
16,CMN103
17,CFE011
18,CFE054
19,CMN167
20,CLF371
21,CLF157
22,CLF116
23,CLF181
24,CLF182
25,CM01024 - Denison TN06A
26,CLF162
27,BF00046 - PPAC Systems Brownfield Operated ID test
28,BF00024 - High Flow and other Well Facilities Upgrades
29,CMN121
30,CLF236
31,CMN112
32,CMN090
33,CFE025
34,CLF231
35,CFE052
36,CLF380
37,CLF350
38,CLF327
39,CMN025
40,CMN019
41,CMN098
42,CFE041
43,CLF342
44,BF00043 - Orana South Loop
45,CM01021 - Banking Fairview
46,CMN026
47,CLF401
48,CMN162
49,CMN127
50,CLF377
51,BF00053 - CTO Auto LPDs
52,CMN034
53,CM00002 - QAL Buyback
54,CMN027
55,CM01026 - Gas Supply Hub Purchases
56,CFE038
57,CLF234
58,CLF323
59,CMN055
60,CMN168
61,CLF295
62,CMN051
63,CMN107
64,BF00014 - Cat C Wells
65,CLF284
66,CLF183
67,CM01010 - Toll APA Multiservice Charge
68,CMN176
69,CMN177
70,CMN007
71,CMN038
72,CLF114
73,CMN136
74,CLF346
75,CM01015 - Orient Purchase
76,CFE006
77,CMN059
78,CMN105
79,CLF313
80,CMN145
81,CMN172
82,BF00047 - Wellhead upgrades ATP 701
83,CM01029 - QGC TN218A
84,CM01030 - QGC TN239B
85,CM01032 - Origin TN32A
86,CFE060
87,CLF260
88,CLF385
89,CLF287
90,CLF348
91,CFE051
92,CFE045
93,CLF387
94,CMN164
95,CM01031 - Fairview Pipeline GTA
96,CMN046
97,CLF205
98,CMN137
99,CMN163
100,CFE048
101,CFE002
102,CMN043
103,CLF317
104,CMN101
105,CMN022
106,CMN029
107,CM00001 - Fairview Purchase
108,CLF135
109,BF00045 - Talinga East Loop Line
110,CFE049
111,CFE003
112,CMN178
113,CMN031
114,BF00021 - DHGs Digital
115,CMN115
116,CLF289
117,CLF374
118,CFE066
119,CFE050
120,CLF190
121,CM01011 - Toll Ramyard Processing
122,BF00055 - CTO Max SSP Installs
123,CMN140
124,CLF184
125,CM01035 - QGC TN254A
126,CMN021
127,CFE017
128,CMN037
129,CMN086
130,CM01020 - Banking Kenya East
131,CLF354
132,BF00041 - TOGGS MAX 120TJ per day Capacity Upgrade OLD
133,CMN133
134,CLF261
135,CMN085
136,CLF258
137,CMN033
138,CMN016
139,CMN076
140,CM01025 - Denison TN15A
141,CLF412
142,CMN157
143,CFE019
144,CMN093
145,CMN119
146,CLF237
147,CLF185
148,CFE056
149,CM01006 - Toll Total SG Throughput Charge
150,CMN114
151,CLF382
152,CLF113
153,CMN089
154,CMN010
155,CLF292
156,CLF269
157,CM01005 - Toll FV Pipeline (O&M Compression)
158,CMN060
159,CMN040
160,CMN049
161,BF00019 - OP019 - Re-stimulation of Wells (Spring Gully) 3xwells
162,CMN003
163,CMN088
164,CMN138
165,CLF321
166,CLF188
167,CFE004
168,CLF132
169,CMN081
170,CLF345
171,CMN050
172,CMN044
173,CLF208
174,BF00002 - East TC Well Reactivation - Category A
175,CFE036
176,CFE009
177,CLF383
178,CMN117
179,CFE018
180,CMN023
181,CLF318
182,CM01034 - Shell TN33B
183,CFE007
184,CMN032
185,CLF267
186,CMN070
187,CMN102
188,CMN122
189,CMN097
190,CM00004 - Denison Purchases
191,CLF209
192,CLF207
193,CMN113
194,CMN011
195,CLF131
196,CMN099
197,CMN142
198,CMN125
199,CLF232
200,CMN158
201,CLF341
202,CLF379
203,CM01007 - Toll Total AGL Subhaulage Charge
204,CMN087
205,CMN078
206,CM01016 - Banking Combabula
207,CLF189
208,CM01003 - Shiraz Purchase
209,BF00035 - Seprator Pump Installation - CMN wells
210,BF00036 - Condabri KODIs
211,CMN104
212,CMN173
213,CMN175
214,CLF264
215,CMN058
216,CLF134
217,CLF285
218,CLF265
219,CLF288
220,CLF343
221,CMN123
222,CLF283
223,CLF259
224,CLF320
225,BF00034 - East TC Well Reactivation - Category C
226,CMN152
227,CMN179
228,CFE063
229,CLF312
230,CMN077
231,CMN083
232,CLF136
233,CMN071
234,CMN091
235,CMN181
236,CFE021
237,CM01004 - Toll FV Pipeline GTA (throughput)
238,BF00050 - HPV Gas Re-injection - Post Trial
239,CM01008 - Toll DDPL Charge 133
240,CM01033 - QGC TN259B
241,CM01009 - Toll DDPL charge 134
242,CM01019 - Banking Kenya
243,CMN100
244,CMN160
245,CMN066
246,CLF241
247,CLF133
248,CLF291
249,CLF315
250,CM01023 - Banking Angry Jungle
251,CLF156
252,BF00030 - Wellhead upgrades ATP 592
253,CLF413
254,CMN106
255,CFE037
256,CMN039
257,CFE005
258,BF00033 - East TC Well Reactivation - Category B
259,CMN012
260,CFE064
261,CLF349
262,CMN130
263,CLF271
264,CMN001
265,CLF319
266,CMN054
267,CMN062
268,CFE023
269,CFE015
270,CLF244
271,CLF329
272,CM01014 - Toll Gooimbah Pipeline Charge
273,CMN075
274,CFE057
275,CFE061
276,CMN110
277,CLF370
278,CMN169
279,CMN047
280,CMN009
281,CFE046
282,CFE053
283,CLF353
284,CMN018
285,CMN028
286,BF00040 - TOGGS DP00013 and DP00027
287,CLF270
288,CMN111
289,BF00054 - Instrument Air and Air Actuator Installs
290,CLF158
291,CLF372
292,CMN159
293,CMN014
294,CMN057
295,CFE030
296,CM00006 - Transport Tolls
297,BF00011 - Orana Separator Pumps
298,CLF263
299,CMN056
300,CMN118
301,CMN155
302,CLF096
303,CMN131
304,CM01028 - QGC TN247B
305,CLF325
306,CMN139
307,CLF416
308,CMN030
309,CMN053
310,CMN151
311,BF00048 - FY22 - RCCP KODI
312,CMN180
313,CMN045
314,CMN065
315,CLF217
316,CLF296
317,CFE013
318,CLF344
319,CLF417
320,CMN004
321,CMN092
322,CMN024
323,CMN084
324,CLF256
325,CMN147
326,CLF355
327,CMN036
328,CMN082
329,CFE047
330,CLF262
331,CMN017
332,CMN063
333,CLF299
334,CLF357
335,BF00037 - Condabri High Torque Pumps
336,CMN148
337,CFE059
338,BF00013 - Cat B n C Wells
339,BF00017 - Spring gully Jumpover X 2
340,CM01022 - Banking Arcadia
341,CM01036 - LNG Shutdown Purchase - Swaps
342,CLF160
