,Allowed Values
0,DP00181 - Monk
1,DP00393 - Rockview
2,DP00089 - Hillside West
3,DP00298 - Meeleebee Downs Shallow Walloons Resource
4,DP00107 - Felicia Park-Myrtacea
5,EX00022 - Talinga Orana_ATP 692_TALGPF
6,DP00367 - Hindman-McIntyre
7,DP00379 - Bendemere Central
8,DP00036 - Campbell West
9,DP00069 - Blue Grass
10,DP00041 - Little Hollow-Silverleigh-Stirling
11,DP00195 - Wonga Park
12,DP00369 - Sunnyside-Evermore
13,DP00182 - Hughes-Nugrow
14,
15,DP00389 - Orana North FGIW Phase 1
16,DP00062 - Zerk
17,DP00267 - Hubbard
18,DP00189 - Thornby
19,DP00037 - Loader
20,DP00360 - Hall-Hibbert-Lloyd
21,DP00394 - Sids Pocket
22,DP00106 - Emery
23,DP00200 - Highland Station West
24,DP00354 - Dalwogan North East - Delineation
25,DP00104 - Cypress Downs
26,DP00092 - Sugarloaf Creek
27,DP00374 - Ramyard-Cypress Downs
28,DP00102 - Bulah
29,DP00180 - Gillam-Hudson-Snow
30,DP00185 - Kogan
31,DP00362 - Pebry-Staines
32,DP00197 - Hampton Court-Lawnton
33,DP00184 - Storey-Searle
34,DP00068 - Kooralbyn
35,DP00183 - Anderson
36,DP00266 - Eddington
37,DP00385 - PL417 Eastern Flank
38,DP00136 - Spring Gully Horizontal Infill Stage 1
39,DP00163 - SandPit-B
40,DP00162 - SandPit-A
41,DP00140 - Ramyard PLA470 West
42,DP00366 - Contingent Resource-187
43,DP00339 - Wilgavale North
44,DP00035 - Brennan
45,DP00177 - Kainama North
46,DP00066 - North of WAP
47,DP00110 - Kurrajong-Ballantyne
48,DP00332 - Shallow Walloons Meleebee Downs
49,DP00121 - Serrongo-Lawton
50,DP00199 - Hillsborough-Lamb
51,DP00317 - Condabri Western Flank Step out
52,DP00085 - Valler-Davis-Irwin
53,DP00192 - Akuna-Brosnan
54,DP00111 - Lucky Gully North
55,DP00103 - Cormack
56,DP00381 - Peat Eastern Flank
57,DP00376 - Charmana
58,DP00336 - Ironbark Phase 2 Western Development
59,DP00097 - Pine Hills State Forest
60,DP00105 - Delahey
61,DP00313 - Trebilco
62,DP00093 - Tecoma
63,DP00187 - QGC-Ewingsdale
64,DP00392 - Ironbark Phase 5 Western Development
65,DP00095 - Sugarloaf
66,DP00091 - Meeleebee Downs
67,DP00100 - Bendemere
68,DP00322 - Murrungama North
69,DP00088 - Sandy Creek
70,DP00328 - Alfredson Western Flank Stepout
71,DP00275 - Shamrock West
72,DP00096 - Loughnan
73,DP00323 - Murrungama South
74,DP00196 - Altona
75,DP00281 - Cobbareena - Britten 1178
76,DP00033 - Jounquay
77,DP00178 - Burnard-Carroll
78,DP00154 - Spring Gully EPBC
79,DP00372 - Fairview
80,EX00004 - Condabri_ATP 702
81,DP00282 - Zerk 592
82,DP00357 - Waterside
83,DP00334 - Ironbark Appraisal Program
84,DP00289 - Redrill - Cement Integrity and Stimgun
85,DP00383 - Alfredson Reactivation Phase 4
86,DP00593 - Spring Gully North East EPBC
87,DP00083 - Spring Gully Horizontal Infill Stage 2
88,DP00260 - Dalwogan North East
89,DP00090 - Reedy Creek State Forest
90,DP00198 - Merino Vale-Woodview West
91,DP00122 - Tanilba-Miam Stage 2
92,DP00386 - Talinga Monreagh Redrill
93,DP00156 - Dalwogan
94,EX00021 - Talinga Orana_ATP 692_ORAGPF
95,DP00026 - Crosby-Keys-Drury
96,DP00378 - Condabri Reactivation Phase 3
97,DP00299 - Sugarloaf Creek Shallow Walloons Resource
98,DP00341 - May Park
99,DP00391 - Ironbark Phase 4 Western Development
100,DP00316 - Miles Step out
101,DP00390 - Ironbark Phase 3 Western Development
102,DP00006 - Campbell
103,DP00263 - Condabri TC Redrill Stage 2
104,DP00051 - Kewpie
105,DP00137 - Moorabinda - Strathblane and Amour
106,DP00370 - Donohoe-Brosnan
107,DP00120 - Reedy Creek South
108,DP00119 - Reedy Creek East
109,DP00338 - Glenbar
110,DP00368 - Woodlands
111,DP00193 - Thorpedale
112,DP00117 - Wattle Park
113,DP00113 - Muggleton Central
114,DP00191 - Stranraer-Benecke
115,DP00340 - Aston-Eyre
116,DP00335 - Ironbark Phase 1 Western Development
117,DP00364 - Budd-McAllister-Sparkes
118,DP00359 - Hatton-Leichhardt Pinnacle
119,DP00188 - Wirralie Station
120,EX00015 - Spring Gully_ATP 701
121,DP00380 - Bendemere South
122,EX00005 - Alfredson_ATP 1178
123,DP00139 - Kainama Stage 1
124,DP00337 - Laguna-Kookaburra-Grassdale-Riverina
125,DP00157 - Ramyard PCA107
126,EX00024 - Riley_ATP 2018
127,DP00150 - Kevington-Amersham HASH
128,DP00342 - Little Hollow
129,DP00116 - Muggleton West
130,DP00375 - Noonga
131,DP00373 - Murray
132,EX00026 - Ironbark_ATP 788
133,DP00190 - Sardine Creek-Larapinta
134,DP00098 - Ahjaal
135,DP00245 - Centimental-Loloma-Grassdale South
136,DP00112 - Lucky Gully South
137,DP00179 - Boyle
138,DP00038 - Reid
139,DP00167 - Argyle-Coleridge-Geijera
140,DP00358 - Bradshaw-Henry-James
141,DP00326 - Hyde Park
142,DP00353 - Ironbark Eastern Development
143,DP00331 - Shallow Walloons Clifford
144,DP00133 - Orana East Stage 2
145,DP00201 - Spring Dale
146,DP00333 - Redrill - Griffin
147,DP00355 - Devils Pulpit East
148,DP00114 - Muggleton North
149,DP00094 - York
150,EX00013 - Spring Gully_ATP 592
151,EX00003 - Combabula_ATP 606
152,DP00242 - Eddington East-Little Meadow East
153,DP00250 - Greenswamp-Coleridge
154,DP00034 - Eising
155,DP00040 - Bealla-Hermat-Meroo
156,DP00329 - Riley Infills
157,DP00115 - Muggleton South
158,DP00194 - Langley
159,DP00371 - Martin
160,DP00382 - Condabri Reactivation Phase 4
161,DP00377 - Lindervale-Tallawanta
162,DP00118 - Pinora
163,DP00148 - HSF-Rockview HASH
164,DP00099 - Beissel-Williams
165,DP00330 - Dalwogan Stepout
166,DP00165 - Freeman-Finsbury Park
167,EX00011 - Peat_ATP 525
168,DP00361 - Booth-Jexgold-Nolan
169,DP00186 - Brown
170,DP00365 - Contingent Resource-119
171,DP00109 - Hillview-Lorraine-Waverley
172,DP00273 - Condabri North Stage 3
173,DP00388 - Ironbark Appraisal Program East
174,DP00356 - Devils Pulpit West
175,DP00387 - Talinga Geldard Redrill
176,DP00363 - Hoffman-Stiller-Woodside
