,Codes
0,TAL_DP8_West
1,CON_DP065
2,SG_MILLER
3,ZERORCCP
4,CON_DP212_Fr
5,CON_DP146_PREPERF
6,ORA_NW
7,CON_DP153
8,RCK_Gr
9,SG_PHASE1
10,TAL_DP084
11,
12,ORA_SE
13,SG_OXTOPUS
14,CON_D3
15,RCK_HSE
16,RCK_QD750
17,RCK_CSF
18,TAL_DP13
19,CON_SQUID
20,CON_A1
21,ZERO
22,CON_A1B
23,ORA_NE
24,CON_DP212_PP
25,ORA_North
26,RCK_B
27,SG_DP148
28,CON_B2
29,MUR_DP322
30,CON_A1D
31,SG_SCOTTSCR
32,RCK_GD
33,CON_WAP
34,SG_DP150
35,ORA_Central
36,SG_MENZIES
37,TAL_DP239
38,ORA_DP12
39,SG_PIINEHIL
40,CON_DP007_Transition
41,CON_A1C
42,RCK_V
43,SG_DP176
44,ORA_DP147_FGI
45,CON_DP146
46,CON_DP153Frac
47,SG_MEELEEBE
48,ORA_East
49,RCK_RCE
50,ORA_DP242
51,TAL_DP166
52,CON_DP146_FRAC
53,RCK_RCE_D
54,ORA_SW
55,RCK_D
56,RCK_QD900
57,TAL_DP8_East
58,CON_D1
59,TAL_DP75_DP76
60,ORA_DP147_DEV
61,CON_DP007_East
62,SG_BOX
63,RCK_RSF
64,CON_D4
65,RCK_GLD
66,CON_B1
67,ORA_DP085
68,RCK_SEA_L
69,RCK_AHJ
70,SG_WYBARA
71,SG_DP168
72,TAL_DP27
73,RCK_B1
74,ORA_DP167
75,ORA_DP028
76,RCK_AHJ_D
77,RCK_CME
78,SG_DP81
79,CON_A1A
80,RCK_Ush
81,CON_DP263
82,SG_PHASE6
83,ORA_DP240
84,RCK_SEA_H
85,ZEROCTO
86,SG_LEGACY
87,CON_DP274_SIS
88,SG_WARBY
89,TAL_DP243
90,ORA_DP133
91,SG_DP137
92,SG_HASH
93,RCK_HPS
94,CON_D2
95,SG_INITWYBA
96,TAL_LEGACY
