,Codes
0,TC_TAL_DP342_Vertical - P50
1,TC_CON_DP378N_VERTICAL - P50
2,TC_RMY_DP201_FRAC_2018-11 - P50
3,TC_CON_DP382L_VERTICAL - P50
4,TC_SGY_DM356 - P50
5,TC_SGY_DMR468 - P50
6,TC_SGY_DMR889 - P50
7,TC_RCP_116NF - P50
8,TC_RCP_102NF - P50
9,TC_SGY_DMR914 - P50
10,TC_SGY_DM294 - P50
11,TC_RMY_DP191_FRAC_2018-11 - P50
12,TC_SGY_SGY521 - P50
13,TC_SGY_DM226 - P50
14,TC_IRB_WEST_NONFRAC - P50
15,TC_DAL_DP263_Vertical - P50
16,TC_SGY_SGY516 - P50
17,TC_CON_DP033_VERTICAL - P50
18,TC_SGY_SGY538 - P50
19,TC_RMY_DP186_FRAC_2018-11 - P50
20,TC_RCP_099NF - P50
21,TC_SGY_DMR469 - P50
22,TC_SGY_SGY533 - P50
23,TC_RCP_448_NF - P50
24,TC_RCP_090NF - P50
25,TC_SGY_DM380 - P50
26,TC_RMY_DP193_FRAC_2018-11 - P50
27,TC_RMY_375_FRAC_2020-10 - P50
28,TC_RMY_371_FRAC_2020-10 - P50
29,TC_RMY_DP198_FRAC_2018-11 - P50
30,TC_ORN_DP313_Vertical - P50
31,TC_MUR_DP323_Vertical - P50
32,TC_CON_DP317S_VERTICAL - P50
33,TC_SGY_DM336 - P50
34,TC_RCP_289NF - P50
35,TC_RCP_113FS - P50
36,TC_RCP_118FS - P50
37,TC_SGY_DMR929 - P50
38,TC_ORN_DP340_Vertical - P50
39,TC_RCP_112FS - P50
40,DAL_C - P50
41,TC_KAI_SE_1060_INITIAL - P50
42,TC_RCP_051NF - P50
43,TC_SGY_DMR470 - P50
44,TC_TAL_DP386_Vertical - P50
45,TC_SGY_SGY531 - P50
46,TC_TAL_DP387_Vertical - P50
47,TC_RCP_122NF - P50
48,TC_KAI_SE_1060_6MTHDELAY - P50
49,TC_ORN_DP339_Vertical - P50
50,TC_IRB_EAST_FRAC - P50
51,TC_SGY_DM378 - P50
52,TC_RCP_121FS - P50
53,TC_RCP_333NF - P50
54,TC_IRB_WEST_FRAC_LO - P50
55,TC_RCP_090FS - P50
56,TC_RCP_095NF - P50
57,TC_RCP_104NF - P50
58,TC_ORN_DP337_Vertical - P50
59,TC_CON_DP038_VERTICAL - P50
60,TC_SGY_SGY509 - P50
61,TC_SGY_SGY526 - P50
62,TC_SGY_SGY528 - P50
63,TC_SNP_A_OH_NOPID - P50
64,TC_KAI_E_S_EX_PHASE1 - P50
65,TC_RMY_368_FRAC_2020-10 - P50
66,TC_RMY_DP196_FRAC_2018-11 - P50
67,TC_SGY_SGY522 - P50
68,TC_SGY_DM334 - P50
69,TC_ORN_DP40_VERTICAL - P50
70,TC_KAI_W_N - P50
71,TC_CON_DP316_VERTICAL - P50
72,TC_RCP_107FS - P50
73,TC_RMY_370_FRAC_2020-10 - P50
74,TC_RCP_333FS - P50
75,TC_SGY_DMR927 - P50
76,TC_SGY_DMR934 - P50
77,TC_RCP_106FS - P50
78,TC_DAL_DP330_VERTICAL - P50
79,TC_CON_DP317N_VERTICAL - P50
80,TC_SGY_SGY524 - P50
81,TC_CON_DP036_VERTICAL - P50
82,TC_SGY_DM345 - P50
83,TC_RCP_089NF - P50
84,TC_CON_DP281_VERTICAL - P50
85,TC_RMY_369_FRAC_2020-10 - P50
86,TC_RCP_117FS - P50
