ID,Relevant Table,Functional Area,Priority ,Planning Space Field  ,Requirement ,Acceptance Criteria ,Completeness %,Validity %,Further sample data required for analysis ,Notes/questions (will remove this column later
DVFR-1,Scalar,Completeness and Validity ,,Active ,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a BooleanString equal to either ""False"" or ""True"" ",,100.00%,100.00%,,
DVFR-2,Scalar,Completeness and Validity ,,Asses Reserves Use Only ,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a BooleanString equal to either ""False"" or ""True"" ","When data is refreshed for this variable  
Then 
And
",100.00%,100.00%,,
DVFR-3,Scalar,Completeness and Validity ,,Commission Date ,When extracted from from Planning Space and visualised in the Production Comparison Report this variable must be NULL or a string containing a date value in the format dd/mm/yyyy. The date must be prior to the current date.,,57.60%,97.61%,,
DVFR-4,Scalar,Completeness and Validity ,,Current Performance Curve,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must be NULL or a string containing one values listed in the curve_codes tab below.

For future state if there is update in the list of allowed values then solution must be able to manage. ",,37.60%,60.59%,Yes,"Since we have a small sample size, this is likely not an exhaustive list of allowed values. However, the relatively low cardinality here suggests that there is a finite list of allowed curve values stored in a table in the database. Since ""ZERO"" is one of the options, it seems like this shouldn't ever be null, despite the low completeness."
DVFR-5,Scalar,Completeness and Validity ,,Current Performance Curve Type,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a string containing one values listed below:
{
    'Individual Well Profile', 'Sub Type Curve', 'Type Curve'
}
For future state if there is update in the list of allowed values then solution must be able to manage. ",,97.80%,100.00%,,
DVFR-6,Scalar,Completeness and Validity ,,Development Package ID,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a string containing one values listed in the dev_codes tab below.

For future state if there is update in the list of allowed values then solution must be able to manage. ",,95.50%,100.00%,Yes,"Since we have a small sample size, this is likely not an exhaustive list of allowed values. However, the relatively low cardinality here suggests that there is a finite list of allowed ID values stored in a table in the database. Alternatively we could validate this with a Regex: ^\D{2}\d{5} this would not ensure that a real ID was selected, just that characters resembling one were used."
DVFR-7,Scalar,Completeness and Validity ,,Earliest Online Date ,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a string containing a date value in the format dd/mm/yyyy. 

The date may not be one of: 
{
    ""1/10/2037"", ""1/01/2070"", ""16/09/2070""
}

The date must also be later than the value of the row's ""Commission Date"" field.",,97.50%,94.76%,,
DVFR-8,Scalar,Completeness and Validity ,,Field ,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a string containing one of the following: 
{
    'Dalwogan', 'Kainama', 'Riley', 'Ironbark', 'Denison Exploration', 'Ramyard', 'Peat', 'Murrungama', 'Condabri', 'Talinga Orana', 'Spring Gully', 'Alfredson', 'Combabula'
}
For future state if there is update in the field names then solution must be able to manage. ",,100.00%,100.00%,,
DVFR-9,Scalar,Completeness and Validity ,,GPF Area,"When extracted from from Planning Space and visualised in the Production Comparison Report this variable must not be null and must be a string containing one of the following: 
{
    'COM_East', 'TOGGS', 'TALS', 'RCK', 'TALN', 'COM', 'CNS',
    'ORA', 'CON', 'ORAS', 'DEN_Exploration', 'ERIC_Priority', 'CNN'
}

For future state if there is update in the allowed values then solution must be able to manage. ",,81.90%,100.00%,,
DVFR-10,Scalar,Completeness and Validity ,,In Current Plan,When extracted from Planning Space and visualised in the Production Comparison Report this Variable must not be null and must be a StringBoolean of either true or false.,,100.00%,100.00%,,
